id,label
409459226,FALSE POSITIVE
347098457,FALSE POSITIVE
125894957,FALSE POSITIVE
384244834,CANDIDATE
349790953,FALSE POSITIVE
300599466,FALSE POSITIVE
237808867,FALSE POSITIVE
47617038,FALSE POSITIVE
445144327,CANDIDATE
278726770,CANDIDATE
145027461,FALSE POSITIVE
26433869,FALSE POSITIVE
141482386,FALSE POSITIVE
395142888,CANDIDATE
141405814,FALSE POSITIVE
155044736,FALSE POSITIVE
314338017,FALSE POSITIVE
42123111,FALSE POSITIVE
89389197,CANDIDATE
310483807,FALSE POSITIVE
50120414,CANDIDATE
412961700,FALSE POSITIVE
96973930,CANDIDATE
124709665,FALSE POSITIVE
341444900,FALSE POSITIVE
26693519,CANDIDATE
67031480,CANDIDATE
56231866,FALSE POSITIVE
195199644,FALSE POSITIVE
167031605,FALSE POSITIVE
356747847,CANDIDATE
327011842,FALSE POSITIVE
334414389,CANDIDATE
229167359,CANDIDATE
315755496,FALSE POSITIVE
48806546,CANDIDATE
441589581,CANDIDATE
321069529,CANDIDATE
141663464,FALSE POSITIVE
444415148,FALSE POSITIVE
92992033,CANDIDATE
326732851,FALSE POSITIVE
238061845,CANDIDATE
190430205,FALSE POSITIVE
384513078,CANDIDATE
285666479,FALSE POSITIVE
160487753,CANDIDATE
113553629,FALSE POSITIVE
192372961,FALSE POSITIVE
348684813,FALSE POSITIVE
55871761,CANDIDATE
377144784,FALSE POSITIVE
326919774,FALSE POSITIVE
411930845,CANDIDATE
418133917,CANDIDATE
129432342,FALSE POSITIVE
329821992,CANDIDATE
403256331,FALSE POSITIVE
259415341,CANDIDATE
245027119,CANDIDATE
173860688,FALSE POSITIVE
299023386,CANDIDATE
341805908,FALSE POSITIVE
152714791,FALSE POSITIVE
201154493,FALSE POSITIVE
397058826,CANDIDATE
366754985,CANDIDATE
418987806,FALSE POSITIVE
287474726,FALSE POSITIVE
400683848,CANDIDATE
201175570,CANDIDATE
287776397,CANDIDATE
100921768,CANDIDATE
146261607,FALSE POSITIVE
293617835,CANDIDATE
143526444,FALSE POSITIVE
285542903,FALSE POSITIVE
234519192,CANDIDATE
317397615,FALSE POSITIVE
197650870,FALSE POSITIVE
348835438,CANDIDATE
387664866,FALSE POSITIVE
